batch,repo,repo_name,total_vars,overall_score,overall_score_wo_missing,overall_score_exact,overall_score_wo_missing_exact,missing_ratio,depth_1_score,depth_2_score,depth_3_score,depth_4_score,depth_5_score,depth_1_score_exact,depth_2_score_exact,depth_3_score_exact,depth_4_score_exact,depth_5_score_exact,repo_a_consistency,repo_b_consistency,lower_than_5_average,lower_than_10_average,lower_than_5_average_exact,lower_than_10_average_exact
,youtube_transcript_api_c37,youtube_transcript_api_c37,215,0.5486,0.9073,0.5349,0.9073,0.3953,0.5556,0.5308,0.4375,,,0.5556,0.4902,0.0,,,3,2,0.6982,0.6729,0.6377,0.6232
,youtube_transcript_api_c37_2,youtube_transcript_api_c37_2,215,0.5207,0.9028,0.507,0.9028,0.4233,0.5309,0.4915,0.4375,,,0.5309,0.451,0.0,,,3,0,0.6982,0.661,0.6377,0.6113
,youtube_transcript_api_c4,youtube_transcript_api_c4,215,0.5017,0.9142,0.4977,0.9142,0.4512,0.5,0.5098,0.4375,,,0.5,0.5098,0.0,,,3,0,0.7083,0.6649,0.6703,0.6336
,youtube_transcript_api_c4_2,youtube_transcript_api_c4_2,215,0.5017,0.9142,0.4977,0.9142,0.4512,0.5,0.5098,0.4375,,,0.5,0.5098,0.0,,,3,0,0.7083,0.6649,0.6703,0.6336
,youtube_transcript_api_g41,youtube_transcript_api_g41,215,0.5674,0.9104,0.5581,0.9104,0.3767,0.5679,0.5686,0.5,,,0.5679,0.5294,0.5,,,3,2,0.625,0.6375,0.587,0.6063
,youtube_transcript_api_g41_2,youtube_transcript_api_g41_2,215,0.5395,0.9063,0.5302,0.9063,0.4047,0.5432,0.5294,0.5,,,0.5432,0.4902,0.5,,,3,0,0.625,0.6256,0.587,0.5943
,youtube_transcript_api_gem25,youtube_transcript_api_gem25,215,0.5666,0.9091,0.5535,0.9091,0.3767,0.5679,0.57,0.375,,,0.5679,0.5294,0.0,,,3,2,0.7036,0.6834,0.6486,0.6381
,youtube_transcript_api_gem25_2,youtube_transcript_api_gem25_2,215,0.5387,0.9048,0.5256,0.9048,0.4047,0.5432,0.5308,0.375,,,0.5432,0.4902,0.0,,,3,0,0.7036,0.6714,0.6486,0.6262
,youtube_transcript_api_ll,youtube_transcript_api_ll,215,0.3654,0.8728,0.3581,0.8728,0.5814,0.3704,0.3442,0.5,,,0.3704,0.3137,0.5,,,3,0,0.5567,0.5344,0.5399,0.5205
,youtube_transcript_api_ll_2,youtube_transcript_api_ll_2,215,0.0605,1.0,0.0605,1.0,0.9395,0.0556,0.0784,0.0,,,0.0556,0.0784,0.0,,,3,0,0.1087,0.0938,0.1087,0.0938
,fastapi_c37,fastapi_c37,1486,0.8008,0.8712,0.7759,0.8441,0.0808,0.8709,0.7242,0.881,0.9257,0.9688,0.8699,0.6858,0.8508,0.9016,0.75,1,1,0.7051,0.728,0.5612,0.5982
,fastapi_c37_2,fastapi_c37_2,1486,0.8004,0.8707,0.7759,0.8441,0.0808,0.8709,0.7233,0.881,0.9257,0.9688,0.8699,0.6858,0.8508,0.9016,0.75,1,1,0.7051,0.728,0.5612,0.5982
